what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792272613
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525792272613
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1525792278494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792278775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792283580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792288587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792292175
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1525792292191
error,log,,,"{R,T}xThread terminated",1525792295876
error,log,,,"{R,T}xThread terminated",1525792295876
error,log,,,"No Byte Stream Services found for Nios II Console View",1525792298030
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-1]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x9048, --reset-target, /cygdrive/d/711M/4/software/nios_cpu/nios_cpu.elf] return code: 4, 'other error'",1525792309344
error,log,,,"Downloading ELF Process failed",1525792309344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792309344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792310857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792315069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792317331
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1525792317347
error,log,,,"No Byte Stream Services found for Nios II Console View",1525792322043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792345088
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792359128
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1525792361140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792384650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792456347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792458282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792469451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792471214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1525792475333
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1525792495753
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792497500
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792503709
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792504832
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792505940
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792507047
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792508093
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792509840
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1525792510979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792519871
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792524083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792524363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792524691
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792524847
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792524987
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792525128
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792525268
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792525346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792525471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792525596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792527717
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792527842
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792529231
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792529543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792533115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792536656
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792536937
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792537389
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792537514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1525792537655
