Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","VGA Signal Timing","http://tinyvga.com/vga-timing","../tinyvga.com\vga-timing.html","HTML","7958","","200 OK","0",""
"Parsed","","http://tinyvga.com/style.css","../tinyvga.com\style.css","HTML","3239","Fri, 13 Mar 2009 17:11:12 GMT","200 OK","1","http://tinyvga.com/vga-timing"
"Saved","","http://tinyvga.com/gfx/icon-chip-wht.gif","../tinyvga.com\gfx\icon-chip-wht.gif","Images","884","Thu, 27 Jul 2000 01:22:41 GMT","200 OK","1","http://tinyvga.com/vga-timing"
"Saved","Interested in easy to use VGA solution for embedded applications? Click here!","http://tinyvga.com/images/monitorico.jpg","../tinyvga.com\images\monitorico.jpg","Images","1640","Thu, 18 Jan 2007 09:09:28 GMT","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VGA Signal 640 x 350 @ 70 Hz  timing","http://tinyvga.com/vga-timing/640x350@70Hz","../tinyvga.com\vga-timing\640x350@70Hz.html","HTML","2853","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 640 x 350 @ 85 Hz  timing","http://tinyvga.com/vga-timing/640x350@85Hz","../tinyvga.com\vga-timing\640x350@85Hz.html","HTML","2857","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VGA Signal 640 x 400 @ 70 Hz  timing","http://tinyvga.com/vga-timing/640x400@70Hz","../tinyvga.com\vga-timing\640x400@70Hz.html","HTML","2855","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 640 x 400 @ 85 Hz  timing","http://tinyvga.com/vga-timing/640x400@85Hz","../tinyvga.com\vga-timing\640x400@85Hz.html","HTML","2857","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VGA Signal 640 x 480 @ 60 Hz Industry standard timing","http://tinyvga.com/vga-timing/640x480@60Hz","../tinyvga.com\vga-timing\640x480@60Hz.html","HTML","2889","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VGA Signal 640 x 480 @ 73 Hz  timing","http://tinyvga.com/vga-timing/640x480@73Hz","../tinyvga.com\vga-timing\640x480@73Hz.html","HTML","2860","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 640 x 480 @ 75 Hz  timing","http://tinyvga.com/vga-timing/640x480@75Hz","../tinyvga.com\vga-timing\640x480@75Hz.html","HTML","2827","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","SXGA (Mode 101) Signal 640 x 480 @ 85 Hz  timing","http://tinyvga.com/vga-timing/640x480@85Hz","../tinyvga.com\vga-timing\640x480@85Hz.html","HTML","2884","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 640 x 480 @ 100 Hz  timing","http://tinyvga.com/vga-timing/640x480@100Hz","../tinyvga.com\vga-timing\640x480@100Hz.html","HTML","2868","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 720 x 400 @ 85 Hz  timing","http://tinyvga.com/vga-timing/720x400@85Hz","../tinyvga.com\vga-timing\720x400@85Hz.html","HTML","2861","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 768 x 576 @ 60 Hz  timing","http://tinyvga.com/vga-timing/768x576@60Hz","../tinyvga.com\vga-timing\768x576@60Hz.html","HTML","2859","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 768 x 576 @ 72 Hz  timing","http://tinyvga.com/vga-timing/768x576@72Hz","../tinyvga.com\vga-timing\768x576@72Hz.html","HTML","2864","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 768 x 576 @ 75 Hz  timing","http://tinyvga.com/vga-timing/768x576@75Hz","../tinyvga.com\vga-timing\768x576@75Hz.html","HTML","2861","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 768 x 576 @ 85 Hz  timing","http://tinyvga.com/vga-timing/768x576@85Hz","../tinyvga.com\vga-timing\768x576@85Hz.html","HTML","2854","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 768 x 576 @ 100 Hz  timing","http://tinyvga.com/vga-timing/768x576@100Hz","../tinyvga.com\vga-timing\768x576@100Hz.html","HTML","2866","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","SVGA Signal 800 x 600 @ 56 Hz  timing","http://tinyvga.com/vga-timing/800x600@56Hz","../tinyvga.com\vga-timing\800x600@56Hz.html","HTML","2844","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","SVGA Signal 800 x 600 @ 60 Hz  timing","http://tinyvga.com/vga-timing/800x600@60Hz","../tinyvga.com\vga-timing\800x600@60Hz.html","HTML","2752","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","SVGA Signal 800 x 600 @ 75 Hz  timing","http://tinyvga.com/vga-timing/800x600@75Hz","../tinyvga.com\vga-timing\800x600@75Hz.html","HTML","2822","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 800 x 600 @ 72 Hz  timing","http://tinyvga.com/vga-timing/800x600@72Hz","../tinyvga.com\vga-timing\800x600@72Hz.html","HTML","2757","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","SXGA Signal 800 x 600 @ 85 Hz (Modes 102/103) timing","http://tinyvga.com/vga-timing/800x600@85Hz","../tinyvga.com\vga-timing\800x600@85Hz.html","HTML","2887","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 800 x 600 @ 100 Hz  timing","http://tinyvga.com/vga-timing/800x600@100Hz","../tinyvga.com\vga-timing\800x600@100Hz.html","HTML","2869","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1024 x 768 @ 43 Hz Interlaced timing","http://tinyvga.com/vga-timing/1024x768@43Hz","../tinyvga.com\vga-timing\1024x768@43Hz.html","HTML","2868","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","XGA Signal 1024 x 768 @ 60 Hz  timing","http://tinyvga.com/vga-timing/1024x768@60Hz","../tinyvga.com\vga-timing\1024x768@60Hz.html","HTML","2858","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1024 x 768 @ 70 Hz  timing","http://tinyvga.com/vga-timing/1024x768@70Hz","../tinyvga.com\vga-timing\1024x768@70Hz.html","HTML","2819","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1024 x 768 @ 75 Hz  timing","http://tinyvga.com/vga-timing/1024x768@75Hz","../tinyvga.com\vga-timing\1024x768@75Hz.html","HTML","2867","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1024 x 768 @ 85 Hz  timing","http://tinyvga.com/vga-timing/1024x768@85Hz","../tinyvga.com\vga-timing\1024x768@85Hz.html","HTML","2865","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1024 x 768 @ 100 Hz  timing","http://tinyvga.com/vga-timing/1024x768@100Hz","../tinyvga.com\vga-timing\1024x768@100Hz.html","HTML","2875","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1152 x 864 @ 75 Hz  timing","http://tinyvga.com/vga-timing/1152x864@75Hz","../tinyvga.com\vga-timing\1152x864@75Hz.html","HTML","2848","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1152 x 864 @ 85 Hz  timing","http://tinyvga.com/vga-timing/1152x864@85Hz","../tinyvga.com\vga-timing\1152x864@85Hz.html","HTML","2870","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1152 x 864 @ 100 Hz  timing","http://tinyvga.com/vga-timing/1152x864@100Hz","../tinyvga.com\vga-timing\1152x864@100Hz.html","HTML","2875","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1152 x 864 @ 60 Hz  timing","http://tinyvga.com/vga-timing/1152x864@60Hz","../tinyvga.com\vga-timing\1152x864@60Hz.html","HTML","2869","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1280 x 1024 @ 60 Hz  timing","http://tinyvga.com/vga-timing/1280x1024@60Hz","../tinyvga.com\vga-timing\1280x1024@60Hz.html","HTML","2871","","200 OK","1","http://tinyvga.com/vga-timing"
"Parsed","VESA Signal 1280 x 1024 @ 75 Hz  timing","http://tinyvga.com/vga-timing/1280x1024@75Hz","../tinyvga.com\vga-timing\1280x1024@75Hz.html","HTML","2873","","200 OK","1","http://tinyvga.com/vga-timing"
